pathway	compound	inchikey
map01100	C00001	XLYOFNOQVPJJNP-UHFFFAOYSA-N
map01100	C00002	ZKHQWZAMYRWXGA-KQYNXXCUSA-N
map01100	C00003	BAWFJGJZGIEFAR-NNYOXOHSSA-O
map01100	C00004	BOPGDPNILDQYTO-NNYOXOHSSA-N
map01100	C00005	ACFIXJIJDZMPPO-NNYOXOHSSA-N
map01100	C00006	XJLXINKUBYWONI-NNYOXOHSSA-O
map01100	C00007	MYMOFIZGZYHOMD-UHFFFAOYSA-N
map01100	C00008	XTWYTFMLZFPYCI-KQYNXXCUSA-N
map01100	C00010	RGJOEKWQDUBAIZ-IBOSZNHHSA-N
map01100	C00011	CURLTUGMZLYLDI-UHFFFAOYSA-N
map01100	C00012	
map01100	C00014	QGZKDVFQNNGYKY-UHFFFAOYSA-N
map01100	C00015	XCCTYIAWTASOJW-XVFCMESISA-N
map01100	C00016	VWWQXMAJTJZDQX-UYBVJOGSSA-N
map01100	C00018	NGVDGCNFYWLIFO-UHFFFAOYSA-N
map01100	C00019	MEFKEPWMEQBLKI-AIRLBKTGSA-N
map01100	C00020	UDMBCSSLTHHNCD-KQYNXXCUSA-N
map01100	C00021	ZJUKTBDSGOFHSH-WFMPWKQPSA-N
map01100	C00022	LCTONWCANYUPML-UHFFFAOYSA-N
map01100	C00024	ZSLZBFCDCINBPY-ZSJPKINUSA-N
map01100	C00025	WHUUTDBJXJRKMK-VKHMYHEASA-N
map01100	C00026	KPGXRSRHYNQIFN-UHFFFAOYSA-N
map01100	C00029	HSCJRCZFDFQWRP-JZMIEXBBSA-N
map01100	C00031	WQZGKKKJIJFFOK-GASJEMHNSA-N
map01100	C00032	KABFMIBPWCXCRK-RGGAHWMASA-L
map01100	C00033	QTBSBXVTEAMEQO-UHFFFAOYSA-N
map01100	C00034	PWHULOQIROXLJO-UHFFFAOYSA-N
map01100	C00035	QGWNDRXFNXRZMB-UUOKFMHZSA-N
map01100	C00036	KHPXUQMNIQBQEV-UHFFFAOYSA-N
map01100	C00037	DHMQDGOQFOQNFH-UHFFFAOYSA-N
map01100	C00039	
map01100	C00041	QNAYBMKLOCPYGJ-REOHCLBHSA-N
map01100	C00042	KDYFGRWQOYBRFD-UHFFFAOYSA-N
map01100	C00043	LFTYTUAZOPRMMI-CFRASDGPSA-N
map01100	C00044	XKMLYUALXHKNFT-UUOKFMHZSA-N
map01100	C00046	
map01100	C00047	KDXKERNSBIXSRK-YFKPBYRVSA-N
map01100	C00048	HHLFWLYXYJOTON-UHFFFAOYSA-N
map01100	C00049	CKLJMWTZIZZHCS-REOHCLBHSA-N
map01100	C00051	RWSXRVCMGQZWBV-WDSKDSINSA-N
map01100	C00052	HSCJRCZFDFQWRP-WBRQRZOHSA-N
map01100	C00053	GACDQMDRPRGCTN-KQYNXXCUSA-N
map01100	C00054	WHTCPDAXWFLDIH-KQYNXXCUSA-N
map01100	C00055	IERHLVCPSMICTF-XVFCMESISA-N
map01100	C00058	BDAGIHXWWSANSR-UHFFFAOYSA-N
map01100	C00059	QAOWNCQODCNURD-UHFFFAOYSA-N
map01100	C00061	FVTCRASFADXXNN-SCRDCRAPSA-N
map01100	C00062	ODKSFYDXXFIFQN-BYPYZUCNSA-N
map01100	C00063	PCDQPRRSZKQHHS-XVFCMESISA-N
map01100	C00064	ZDXPYRJPNDTMRX-VKHMYHEASA-N
map01100	C00065	MTCFGRXMJLQNBG-REOHCLBHSA-N
map01100	C00067	WSFSSNUMVMOOMR-UHFFFAOYSA-N
map01100	C00068	AYEKOFBPNLCAJY-UHFFFAOYSA-O
map01100	C00072	CIWBSHSKHKDKBQ-JLAZNSOCSA-N
map01100	C00073	FFEARJCKVFRZRR-BYPYZUCNSA-N
map01100	C00074	DTBNBXWJWCWCIK-UHFFFAOYSA-N
map01100	C00075	PGAVKCOVUIYSFO-XVFCMESISA-N
map01100	C00077	AHLPHDHHMVZTML-BYPYZUCNSA-N
map01100	C00078	QIVBCDIJIAJPQS-VIFPVBQESA-N
map01100	C00079	COLNVLDHVKWLRT-QMMMGPOBSA-N
map01100	C00080	GPRLSGONYQIRFK-UHFFFAOYSA-N
map01100	C00081	HAEJPQIATWHALX-KQYNXXCUSA-N
map01100	C00082	OUYCCCASQSFEME-QMMMGPOBSA-N
map01100	C00083	LTYOQGRJFJAKNA-DVVLENMVSA-N
map01100	C00084	IKHGUXGNUITLKF-UHFFFAOYSA-N
map01100	C00085	BGWGXPAPYGQALX-VRPWFDPXSA-N
map01100	C00086	XSQUKJJJFZCRTK-UHFFFAOYSA-N
map01100	C00087	RWSOTUBLDIXVET-UHFFFAOYSA-N
map01100	C00088	IOVCWXUNBOPUCH-UHFFFAOYSA-N
map01100	C00089	CZMRCDWAGMRECN-UGDNZRGBSA-N
map01100	C00090	YCIMNLLNPGFGHC-UHFFFAOYSA-N
map01100	C00091	VNOYUJKHFWYWIR-ITIYDSSPSA-N
map01100	C00092	NBSCHQHZLSJFNQ-GASJEMHNSA-N
map01100	C00093	AWUCVROLDVIAJX-GSVOUGTGSA-N
map01100	C00094	LSNNMFCWUKXFEE-UHFFFAOYSA-N
map01100	C00095	RFSUNEUAIZKAJO-VRPWFDPXSA-N
map01100	C00096	MVMSCBBUIHUTGJ-GDJBGNAASA-N
map01100	C00097	XUJNEKJLAYXESH-REOHCLBHSA-N
map01100	C00099	UCMIRNVEIXFBKS-UHFFFAOYSA-N
map01100	C00100	QAQREVBBADEHPA-IEXPHMLFSA-N
map01100	C00101	MSTNYGQPCMXVAQ-RYUDHWBXSA-N
map01100	C00103	HXXFSFRBOHSIMQ-VFUOTHLCSA-N
map01100	C00104	JPXZQMKKFWMMGK-KQYNXXCUSA-N
map01100	C00105	DJJCXFVJDGTHFX-XVFCMESISA-N
map01100	C00106	ISAKRJDGNUQOIC-UHFFFAOYSA-N
map01100	C00108	RWZYAGGXGHYGMB-UHFFFAOYSA-N
map01100	C00109	TYEYBOSBBBHJIV-UHFFFAOYSA-N
map01100	C00110	GYBNOAFGEKAZTA-QOLULZRONA-N
map01100	C00111	GNGACRATGGDKBX-UHFFFAOYSA-N
map01100	C00112	ZWIADYZPOWUWEW-XVFCMESISA-N
map01100	C00114	OEYIOHPDSNJKLS-UHFFFAOYSA-N
map01100	C00116	PEDCQBHIVMGVHV-UHFFFAOYSA-N
map01100	C00117	KTVPXOYAKDPRHY-SOOFDHNKSA-N
map01100	C00118	LXJXRIRHZLFYRP-VKHMYHEASA-N
map01100	C00119	PQGCEDQWHSBAJP-TXICZTDVSA-N
map01100	C00120	YBJHBAHKTGYVGT-ZKWXMUAHSA-N
map01100	C00121	HMFHBZSHGGEWLO-SOOFDHNKSA-N
map01100	C00122	VZCYOOQTPOCHFL-OWOJBTEDSA-N
map01100	C00123	ROHFNLRQFUQHCH-YFKPBYRVSA-N
map01100	C00124	WQZGKKKJIJFFOK-SVZMEOIVSA-N
map01100	C00127	YPZRWBKMTBYPTK-BJDJZHNGSA-N
map01100	C00128	TXCIAUNLDRJGJZ-BILDWYJOSA-N
map01100	C00129	NUHSROFQTUXZQQ-UHFFFAOYSA-N
map01100	C00130	GRSZFWQUAKGDAV-KQYNXXCUSA-N
map01100	C00131	SUYVUBYJARFZHO-RRKCRQDMSA-N
map01100	C00132	OKKJLVBELUTLKV-UHFFFAOYSA-N
map01100	C00133	QNAYBMKLOCPYGJ-UWTATZPHSA-N
map01100	C00134	KIDHWZJUCRJVML-UHFFFAOYSA-N
map01100	C00135	HNDVDQJCIGZPNO-YFKPBYRVSA-N
map01100	C00136	CRFNGMNYKDXRTN-CITAKDKDSA-N
map01100	C00137	CDAISMWEOUEBRE-GPIVLXJGSA-N
map01100	C00140	OVRNDRQMDRJTHS-RTRLPJTCSA-N
map01100	C00141	QHKABHOOEWYVLI-UHFFFAOYSA-N
map01100	C00143	QYNUQALWYRSVHF-PZORYLMUSA-N
map01100	C00144	RQFCJASXJCIDSX-UUOKFMHZSA-N
map01100	C00146	ISWSIDIOOBJBQZ-UHFFFAOYSA-N
map01100	C00147	GFFGJBXGBJISGV-UHFFFAOYSA-N
map01100	C00148	ONIBWKKTOPOVIA-BYPYZUCNSA-N
map01100	C00149	BJEPYKJPYRNKOW-REOHCLBHSA-N
map01100	C00152	DCXYFEDJOCDNAF-REOHCLBHSA-N
map01100	C00153	DFPAKSUCGFBDDF-UHFFFAOYSA-N
map01100	C00154	MNBKLUUYKPBKDU-BBECNAHFSA-N
map01100	C00155	FFFHZYDWPBMWHY-VKHMYHEASA-N
map01100	C00156	FJKROLUGYXJWQN-UHFFFAOYSA-N
map01100	C00157	
map01100	C00158	KRKNYBCHXYNGOX-UHFFFAOYSA-N
map01100	C00159	WQZGKKKJIJFFOK-QTVWNMPRSA-N
map01100	C00160	AEMRFAOFKBGASW-UHFFFAOYSA-N
map01100	C00163	XBDQKXXYIPTUBI-UHFFFAOYSA-N
map01100	C00164	WDJHALXBUFZDSR-UHFFFAOYSA-N
map01100	C00166	BTNMPGBKDVTSJY-UHFFFAOYSA-N
map01100	C00167	HDYANYHVCAPMJV-LXQIFKJMSA-N
map01100	C00168	HHDDCCUIIUWNGJ-UHFFFAOYSA-N
map01100	C00169	FFQKYPRQEYGKAF-UHFFFAOYSA-N
map01100	C00170	WUUGFSXJNOTRMR-IOSLPCCCSA-N
map01100	C00173	
map01100	C00178	RWQNBRDOKXIBIV-UHFFFAOYSA-N
map01100	C00179	QYPPJABKJHAVHS-UHFFFAOYSA-N
map01100	C00180	WPYMKLBDIGXBTP-UHFFFAOYSA-N
map01100	C00181	SRBFZHDQGSBBOR-IOVATXLUSA-N
map01100	C00183	KZSNJWFQEVHDMF-BYPYZUCNSA-N
map01100	C00184	RXKJFZQQPQGTFL-UHFFFAOYSA-N
map01100	C00185	GUBGYTABKSRVRQ-CUHNMECISA-N
map01100	C00186	JVTAAEKCZFNVCJ-REOHCLBHSA-N
map01100	C00187	HVYWMOMLDIMFJA-DPAQBDIFSA-N
map01100	C00188	AYFVYJQAPQTCCC-GBXIJSLDSA-N
map01100	C00189	HZAXFHJVJLSVMW-UHFFFAOYSA-N
map01100	C00190	DQQDLYVHOTZLOR-WJCCNOJNSA-N
map01100	C00191	AEMOLEFTQBMNLQ-AQKNRBDQSA-N
map01100	C00192	AVXURJPOCDRRFD-UHFFFAOYSA-N
