pathway,pathwayTitle,total_inchikeys,matched,ratio
WP2910,Mecp2 and associated Rett syndrome,2,2,1.0
WP3812,SALM protein interactions at the synapse,2,2,1.0
WP432,Asparagine degradation,2,2,1.0
WP178,Isoleucine degradation,1,1,1.0
WP1811,Eukaryotic translation elongation,1,1,1.0
WP1917,Signaling by Rho GTPases,1,1,1.0
WP2686,Regulation of cholesterol biosynthesis by SREBP (SREBF),1,1,1.0
WP3658,Wnt/beta-catenin signaling pathway in leukemia,1,1,1.0
WP3853,ERK pathway in Huntington's disease,1,1,1.0
WP4054,Synaptic adhesion-like molecules,1,1,1.0
WP4389,Bile acids synthesis and enterohepatic circulation,1,1,1.0
WP4522,"Metabolic pathway of LDL, HDL and TG, including diseases",1,1,1.0
WP5092,Interactions of natural killer cells in pancreatic cancer,1,1,1.0
WP5108,Familial  hyperlipidemia type 1,1,1,1.0
WP5109,Familial hyperlipidemia type 2,1,1,1.0
WP5110,Familial hyperlipidemia type 3,1,1,1.0
WP5112,Familial hyperlipidemia type 5,1,1,1.0
WP218,Serine and glycine biosynthesis,5,4,0.8
WP3142,Glycine metabolism,4,3,0.75
WP5049,Glycolysis in senescence,4,3,0.75
WP4241,Type 2 papillary renal cell carcinoma,3,2,0.6666666666666666
WP4549,Fragile X syndrome,3,2,0.6666666666666666
WP5015,Amino acids regulate mTORC1,3,2,0.6666666666666666
WP3355,"BMAL1:CLOCK,NPAS2 activates circadian gene expression",5,3,0.6
WP3370,RORA activates gene expression,5,3,0.6
WP4232,Biosynthesis of gamma-aminobutyric acid (GABA) by polyamine oxidation,5,3,0.6
WP469,Glutathione metabolism,5,3,0.6
WP67,Asparagine biosynthesis,5,3,0.6
WP715,Amino acid conjugation,5,3,0.6
WP54,Arginine degradation,9,5,0.5555555555555556
WP4571,Urea cycle and related diseases,13,7,0.5384615384615384
WP4583,Biomarkers for urea cycle disorders,17,9,0.5294117647058824
WP5029,Amino acid transport defects (IEMs),23,12,0.5217391304347826
WP1938,tRNA aminoacylation,12,6,0.5
WP2566,Glyoxylate cycle,8,4,0.5
WP1872,Neurotransmitter uptake and metabolism In glial cells,6,3,0.5
WP2706,Activation of gene expression by SREBF (SREBP),6,3,0.5
WP290,Polyamine biosynthesis,6,3,0.5
WP1982,Sterol regulatory element-binding proteins (SREBP) signaling,4,2,0.5
WP3194,SREBP signaling,4,2,0.5
WP3348,Macroautophagy,4,2,0.5
WP3901,Lipid droplet metabolism,4,2,0.5
WP627,Triacylglycerol biosynthesis,4,2,0.5
WP84,NAD biosynthesis,4,2,0.5
WP1019,FAS pathway and stress induction of HSP regulation,2,1,0.5
WP1138,FAS pathway and stress induction of HSP regulation,2,1,0.5
WP227,Osteoblast signaling,2,1,0.5
WP238,Osteoblast signaling,2,1,0.5
WP2944,Cytokinin signaling,2,1,0.5
WP314,Fas ligand pathway and stress induction of heat shock proteins,2,1,0.5
WP3297,EV release from cardiac cells and their functional effects,2,1,0.5
WP3310,Mitochondrial translation,2,1,0.5
WP354,Leucine degradation,2,1,0.5
WP3601,Lipid particles composition,2,1,0.5
WP4053,TBC/RABGAPs,2,1,0.5
WP414,Cell cycle and cell division,2,1,0.5
WP4172,PI3K-Akt signaling pathway,2,1,0.5
WP5222,2q13 copy number variation syndrome,2,1,0.5
WP5239,Lac-Phe pathway,2,1,0.5
WP5240,Lac-Phe pathway,2,1,0.5
WP5255,SARS-CoV-2 envelope lipid composition and human cell binding,2,1,0.5
WP5323,Fatty Acids and Lipoproteins Transport in Hepatocytes,2,1,0.5
WP571,FAS pathway and stress induction of HSP regulation,2,1,0.5
WP788,FAS pathway and stress induction of HSP regulation,2,1,0.5
WP902,FAS pathway and stress induction of HSP regulation,2,1,0.5
WP5298,Dravet syndrome: Scn1a-A1783V point mutation model,9,4,0.4444444444444444
WP191,Glutamate biosynthesis superpathway,7,3,0.42857142857142855
WP196,Glutathione biosynthesis,7,3,0.42857142857142855
WP2563,TCA cycle,7,3,0.42857142857142855
WP5078,T cell modulation in pancreatic cancer,7,3,0.42857142857142855
WP77,Glutamate biosynthesis,7,3,0.42857142857142855
WP3953,"mRNA, protein, and metabolite inducation pathway by cyclosporin A",12,5,0.4166666666666667
WP3584,MECP2 and associated Rett syndrome,10,4,0.4
WP390,Serine-isocitrate lyase pathway,10,4,0.4
WP1247,Methylation,5,2,0.4
WP128,Homocysteine and cysteine interconversion,5,2,0.4
WP1282,Methylation,5,2,0.4
WP1843,L1CAM interactions,5,2,0.4
WP2659,Deadenylation-dependent mRNA decay,5,2,0.4
WP2748,Energy dependent regulation of mTOR by LKB1-AMPK,5,2,0.4
WP2777,Translocation of SLC2A4 (GLUT4) to the plasma membrane,5,2,0.4
WP2868,TCA cycle nutrient use and invasiveness of ovarian cancer,5,2,0.4
WP3252,TCA cycle nutrient use and invasiveness of ovarian cancer,5,2,0.4
WP3309,EPH-Ephrin signaling,5,2,0.4
WP3552,tRNA processing in the nucleus,5,2,0.4
WP4075,Carboxyterminal post-translational modifications of tubulin,5,2,0.4
WP704,Methylation pathways,5,2,0.4
WP9,Phospholipid biosynthesis,5,2,0.4
WP992,Methylation pathways,5,2,0.4
WP4595,Urea cycle and associated pathways,26,10,0.38461538461538464
WP4159,GABA receptor signaling,8,3,0.375
WP4973,Urea cycle,22,8,0.36363636363636365
WP661,Glucose homeostasis,22,8,0.36363636363636365
WP347,TCA cycle,11,4,0.36363636363636365
WP423,Threonine and methionine biosynthesis,11,4,0.36363636363636365
WP275,Arginine biosynthesis,14,5,0.35714285714285715
WP3245,Urea cycle and metabolism of amino groups,30,10,0.3333333333333333
WP106,Alanine and aspartate metabolism,21,7,0.3333333333333333
WP3262,Alanine and aspartate metabolism,18,6,0.3333333333333333
WP4206,Hereditary leiomyomatosis and renal cell carcinoma pathway,18,6,0.3333333333333333
WP7,Sulfur amino acid biosynthesis,15,5,0.3333333333333333
WP203,De novo biosynthesis of purine nucleotides,12,4,0.3333333333333333
WP1008,Amino acid conjugation of benzoic acid,9,3,0.3333333333333333
WP1227,TCA cycle,9,3,0.3333333333333333
WP1252,Amino acid conjugation of benzoic acid,9,3,0.3333333333333333
WP1287,Amino acid conjugation of benzoic acid,9,3,0.3333333333333333
WP1495,Glycine metabolism,9,3,0.3333333333333333
WP1518,Aspartate biosynthesis,9,3,0.3333333333333333
WP19,TCA cycle,9,3,0.3333333333333333
WP2735,RAF/MAP kinase cascade,9,3,0.3333333333333333
WP2751,Transcriptional regulation of white adipocyte differentiation,9,3,0.3333333333333333
WP3800,Protein repair,9,3,0.3333333333333333
WP434,TCA cycle,9,3,0.3333333333333333
WP4518,"Gamma-glutamyl cycle for the biosynthesis and degradation of glutathione, including diseases",9,3,0.3333333333333333
WP5046,NAD metabolism in oncogene-induced senescence and mitochondrial dysfunction-associated senescence,9,3,0.3333333333333333
WP5313,Carnosine metabolism of glial cells,9,3,0.3333333333333333
WP1020,Fatty acid biosynthesis,6,2,0.3333333333333333
WP2208,Cardiolipin biosynthesis,6,2,0.3333333333333333
WP357,Fatty acid biosynthesis,6,2,0.3333333333333333
WP1,Statin pathway,3,1,0.3333333333333333
WP1074,Osteoblast signaling,3,1,0.3333333333333333
WP1118,Biogenic amine synthesis,3,1,0.3333333333333333
WP1281,Hypothetical network for drug addiction,3,1,0.3333333333333333
WP145,Statin pathway,3,1,0.3333333333333333
WP1812,Eukaryotic translation initiation,3,1,0.3333333333333333
WP1861,mRNA Capping,3,1,0.3333333333333333
WP1866,NCAM signaling for neurite out-growth,3,1,0.3333333333333333
WP1889,Processing of Capped Intron-Containing Pre-mRNA,3,1,0.3333333333333333
WP1892,Protein folding,3,1,0.3333333333333333
WP212,Triacylglyceride synthesis,3,1,0.3333333333333333
WP266,Triglyceride biosynthesis,3,1,0.3333333333333333
WP2672,ISG15 antiviral mechanism,3,1,0.3333333333333333
WP2684,Host Interactions of HIV factors,3,1,0.3333333333333333
WP2778,SUMOylation,3,1,0.3333333333333333
WP3212,Membrane trafficking,3,1,0.3333333333333333
WP322,Osteoblast signaling,3,1,0.3333333333333333
WP3224,Synaptic vesicle pathway,3,1,0.3333333333333333
WP3318,MTOR signaling,3,1,0.3333333333333333
WP3335,Signaling by FGFR1,3,1,0.3333333333333333
WP3338,Signaling by FGFR2,3,1,0.3333333333333333
WP3538,Septum site determination,3,1,0.3333333333333333
WP3571,Gene Silencing by RNA,3,1,0.3333333333333333
WP3575,Endosomal sorting complex required for transport,3,1,0.3333333333333333
WP3578,trans-Golgi Network Vesicle Budding,3,1,0.3333333333333333
WP3638,Parkinson's disease,3,1,0.3333333333333333
WP3838,Regulation of TP53 Activity through Phosphorylation,3,1,0.3333333333333333
WP4125,Protein ubiquitination,3,1,0.3333333333333333
WP4191,Caloric restriction and aging,3,1,0.3333333333333333
WP4441,COPI-mediated anterograde transport,3,1,0.3333333333333333
WP4461,DNA Replication Pre-Initiation,3,1,0.3333333333333333
WP4846,SARS-CoV-2 and COVID-19 pathway,3,1,0.3333333333333333
WP4942,15q13.3 copy number variation syndrome,3,1,0.3333333333333333
WP4980,Alanine metabolism,3,1,0.3333333333333333
WP4985,Lipophagy,3,1,0.3333333333333333
WP5000,FCGR3A-mediated phagocytosis,3,1,0.3333333333333333
WP5007,Assembly and cell surface presentation of NMDA receptors,3,1,0.3333333333333333
WP5013,Insertion of tail-anchored proteins into the endoplasmic reticulum membrane,3,1,0.3333333333333333
WP5111,Familial hyperlipidemia type 4,3,1,0.3333333333333333
WP5192,Modulation of PI3K-Akt-mTOR signaling by bioactive sphingolipids,3,1,0.3333333333333333
WP5294,Sildenafil treatment,3,1,0.3333333333333333
WP956,Osteoblast signaling,3,1,0.3333333333333333
WP3622,AtMetExpress overview,143,47,0.32867132867132864
WP497,Urea cycle and metabolism of amino groups,31,10,0.3225806451612903
WP4290,Metabolic reprogramming in colon cancer,32,10,0.3125
WP46,Methionine degradation,16,5,0.3125
WP730,Glutathione and one-carbon metabolism,16,5,0.3125
WP3331,Mitochondrial biogenesis,13,4,0.3076923076923077
WP4466,Oxidative stress and redox pathway,20,6,0.3
WP256,Cysteine biosynthesis from homoserine,10,3,0.3
WP459,Serine biosynthesis,10,3,0.3
WP513,Catecholamine synthesis,10,3,0.3
WP521,Amino acid conjugation of benzoic acid,10,3,0.3
WP5213,Amino acid metabolism in triple-negative breast cancer cells,17,5,0.29411764705882354
WP2333,Trans-sulfuration pathway,14,4,0.2857142857142857
WP3145,Trans-sulfuration pathway,14,4,0.2857142857142857
WP3996,Ethanol effects on histone modifications,14,4,0.2857142857142857
WP4853,Linoleic acid metabolism affected by SARS-CoV-2,14,4,0.2857142857142857
WP1642,D-arginine and D-ornithine metabolism,7,2,0.2857142857142857
WP1906,RNA Polymerase II Transcription,7,2,0.2857142857142857
WP2267,Synaptic vesicle pathway,7,2,0.2857142857142857
WP3401,Hedgehog ligand biogenesis,7,2,0.2857142857142857
WP4459,"Glutamate binding, activation of AMPA receptors and synaptic plasticity",7,2,0.2857142857142857
WP4905,1q21.1 copy number variation syndrome,7,2,0.2857142857142857
WP568,Fatty acid biosynthesis,7,2,0.2857142857142857
WP573,Phenylalanine degradation,7,2,0.2857142857142857
WP5312,Metabolic pathways of fibroblasts,22,6,0.2727272727272727
WP1797,Circadian Clock,11,3,0.2727272727272727
