HMDB,InChIKey
HMDB0000190,JVTAAEKCZFNVCJ-REOHCLBHSA-N
HMDB0000126,AWUCVROLDVIAJX-GSVOUGTGSA-N
HMDB0000112,BTCSSZJGUNDROE-UHFFFAOYSA-N
HMDB0000192,LEVWYRKDKASIDU-IMJSIDKUSA-N
HMDB0000076,OIVLITBTBDPEFK-UHFFFAOYSA-N
HMDB0000243,LCTONWCANYUPML-UHFFFAOYSA-N
HMDB0000687,ROHFNLRQFUQHCH-YFKPBYRVSA-N
HMDB0005826,VCWMRQDBPZKXKG-DXNLKLAMSA-N
HMDB0000122,WQZGKKKJIJFFOK-VFUOTHLCSA-N
HMDB0000098,SRBFZHDQGSBBOR-IOVATXLUSA-N
HMDB0000167,AYFVYJQAPQTCCC-GBXIJSLDSA-N
HMDB0000148,WHUUTDBJXJRKMK-VKHMYHEASA-N
HMDB0001488,PVNIIMVLHYAWGP-UHFFFAOYSA-N
HMDB0000943,JPIJQSOTBSSVTP-STHAYSLISA-N
HMDB0000169,WQZGKKKJIJFFOK-PQMKYFCFSA-N
HMDB0001058,RNBGYGVWRKECFJ-ARQDHWQXSA-N
HMDB0000139,RBNPOMFGQQGHHO-UWTATZPHSA-N
HMDB0000187,MTCFGRXMJLQNBG-REOHCLBHSA-N
HMDB0001401,NBSCHQHZLSJFNQ-GASJEMHNSA-N
HMDB0000213,INAPMGSXUVUWAF-UOTPTPDRSA-N
HMDB0002869,SGNBVLSWZMBQTH-PODYLUTMSA-N
HMDB0000044,CIWBSHSKHKDKBQ-JLAZNSOCSA-N
HMDB0000742,FFFHZYDWPBMWHY-VKHMYHEASA-N
HMDB0000123,DHMQDGOQFOQNFH-UHFFFAOYSA-N
HMDB0000660,RFSUNEUAIZKAJO-ARQDHWQXSA-N
HMDB0000719,UKAUYVFTDYCKQA-VKHMYHEASA-N
HMDB0002019,BOTWFXYSPFMFNR-PYDDKJGSSA-N
HMDB0000574,XUJNEKJLAYXESH-REOHCLBHSA-N
HMDB0000852,KZJWDPNRJALLNS-VJSFXXLFSA-N
HMDB0000161,QNAYBMKLOCPYGJ-REOHCLBHSA-N
HMDB0000849,SHZGCJCMOBCMKK-JFNONXLTSA-N
HMDB0000163,GUBGYTABKSRVRQ-DKBJLJRDSA-N
HMDB0000263,DTBNBXWJWCWCIK-UHFFFAOYSA-N
HMDB0001022,VNOYUJKHFWYWIR-ITIYDSSPSA-N
HMDB0002655,IZQSVPBOUDKVDZ-UHFFFAOYSA-N
HMDB0001206,ZSLZBFCDCINBPY-ZSJPKINUSA-N
HMDB0001264,SBJKKFFYIZUCET-JLAZNSOCSA-N
HMDB0000223,KHPXUQMNIQBQEV-UHFFFAOYSA-N
HMDB0000211,CDAISMWEOUEBRE-GPIVLXJGSA-N
HMDB0000124,GSXOAOHZAIYLCY-HSUXUTPPSA-N
HMDB0003213,MUPFEKGTMRGPLJ-ZQSKZDJDSA-N
HMDB0002545,IAJILQKETJEXLJ-RSJOWCBRSA-N
HMDB0029942,SRBFZHDQGSBBOR-SQOUGZDYSA-N
HMDB0000283,HMFHBZSHGGEWLO-SOOFDHNKSA-N
HMDB0000975,HDTRYLNUVZCQOY-LIZSDCNHSA-N
HMDB0000182,KDXKERNSBIXSRK-YFKPBYRVSA-N
HMDB0000191,CKLJMWTZIZZHCS-REOHCLBHSA-N
HMDB0000056,UCMIRNVEIXFBKS-UHFFFAOYSA-N
HMDB0000883,KZSNJWFQEVHDMF-BYPYZUCNSA-N
HMDB0000300,ISAKRJDGNUQOIC-UHFFFAOYSA-N
HMDB0000172,AGPKZVBTJJNPAG-WHFBIAKZSA-N
HMDB0000168,DCXYFEDJOCDNAF-REOHCLBHSA-N
HMDB0000094,KRKNYBCHXYNGOX-UHFFFAOYSA-N
HMDB0000193,ODBLHEXUDAPZAU-UHFFFAOYSA-N
HMDB0000072,GTZCVFVGUGFEME-IWQZZHSRSA-N
HMDB0000208,KPGXRSRHYNQIFN-UHFFFAOYSA-N
HMDB0000254,KDYFGRWQOYBRFD-UHFFFAOYSA-N
HMDB0000134,VZCYOOQTPOCHFL-OWOJBTEDSA-N
HMDB0000696,FFEARJCKVFRZRR-BYPYZUCNSA-N
HMDB0001185,MEFKEPWMEQBLKI-AIRLBKTGSA-O
HMDB0000517,ODKSFYDXXFIFQN-BYPYZUCNSA-N
HMDB0000641,ZDXPYRJPNDTMRX-VKHMYHEASA-N
HMDB0000177,HNDVDQJCIGZPNO-YFKPBYRVSA-N
HMDB0000162,ONIBWKKTOPOVIA-BYPYZUCNSA-N
HMDB0000214,AHLPHDHHMVZTML-BYPYZUCNSA-N
HMDB0003338,AVXURJPOCDRRFD-UHFFFAOYSA-N
HMDB0001414,KIDHWZJUCRJVML-UHFFFAOYSA-N
HMDB0001257,ATHGHQPFGPMSJY-UHFFFAOYSA-N
HMDB0000149,HZAXFHJVJLSVMW-UHFFFAOYSA-N
HMDB0003070,JXOHGGNKMLTUBP-HSUXUTPPSA-N
HMDB0003072,AAWZDTNXLSGCEK-WYWMIBKRSA-N
HMDB0000159,COLNVLDHVKWLRT-QMMMGPOBSA-N
HMDB0000929,QIVBCDIJIAJPQS-VIFPVBQESA-N
HMDB0000158,OUYCCCASQSFEME-QMMMGPOBSA-N
HMDB0000303,APJYDQYYACXCRM-UHFFFAOYSA-N
HMDB0032538,GSEJCLTVZPLZKY-UHFFFAOYSA-N
HMDB0001870,WPYMKLBDIGXBTP-UHFFFAOYSA-N
HMDB0001964,QAIPRVGONGVQAS-DUXPYHPUSA-N
HMDB0001893,GVJHHUAWPYXKBD-IEOSBIPESA-N
HMDB0000306,DZGWFCGJZKJUFP-UHFFFAOYSA-N
HMDB0005794,REFJWTPEDVJJIY-UHFFFAOYSA-N
HMDB0005801,IYRMWMYZSQPJKC-UHFFFAOYSA-N
HMDB0000625,RGHNJXZEOKUKBD-SQOUGZDYSA-N
HMDB0000125,RWSXRVCMGQZWBV-WDSKDSINSA-N
HMDB0000807,OSJPPGNTCRNQQC-UHFFFAOYSA-N
HMDB0000806,TUNFSRHWOTWDNC-UHFFFAOYSA-N
HMDB0000220,IPCSVZSSVZVIGE-UHFFFAOYSA-N
HMDB0000827,QIQXTHQIDYTFRH-UHFFFAOYSA-N
HMDB0000673,OYHQOLUKZRVURQ-HZJYTTRNSA-N
HMDB0001388,DTOSIQBPPRVQHS-PDBXOOCHSA-N
HMDB0002003,QZZGJDVWLFXDLK-UHFFFAOYSA-N
HMDB0000067,HVYWMOMLDIMFJA-DPAQBDIFSA-N
HMDB0000937,HCXVJBMSMIARIN-PHZDYDNGSA-N
HMDB0000661,JFCQEDHGNNZCLN-UHFFFAOYSA-N
HMDB0001895,YGSDEFSMJLZEOE-UHFFFAOYSA-N
