pathwayRes,pathway,pathwayTitle,pubchemcid,inchikey
https://identifiers.org/wikipathways/WP5060_r123880,WP5060,Peptidoglycan cytoplasmic synthesis and recycling pathways,5280338,UFPHFKCTOZIAFY-RDQGWRCRSA-N
https://identifiers.org/wikipathways/WP5060_r123880,WP5060,Peptidoglycan cytoplasmic synthesis and recycling pathways,5460362,DEFJQIDDEAULHB-QWWZWVQMSA-N
https://identifiers.org/wikipathways/WP5060_r123880,WP5060,Peptidoglycan cytoplasmic synthesis and recycling pathways,24771768,OJZCATPXPWFLHF-DNMPHPEFSA-N
https://identifiers.org/wikipathways/WP5060_r123880,WP5060,Peptidoglycan cytoplasmic synthesis and recycling pathways,5280604,NTXGVHCCXVHYCL-RDQGWRCRSA-N
https://identifiers.org/wikipathways/WP5060_r123880,WP5060,Peptidoglycan cytoplasmic synthesis and recycling pathways,16059194,IMWOXEZVYQDRDF-MCZXNMLPSA-N
https://identifiers.org/wikipathways/WP5060_r123880,WP5060,Peptidoglycan cytoplasmic synthesis and recycling pathways,46173753,OXJNZXDFVLDLEI-MBCYCBSHSA-N
https://identifiers.org/wikipathways/WP5060_r123880,WP5060,Peptidoglycan cytoplasmic synthesis and recycling pathways,86289058,QUHLBZKCGUXHGP-AJVQVANPSA-N
https://identifiers.org/wikipathways/WP5060_r123880,WP5060,Peptidoglycan cytoplasmic synthesis and recycling pathways,104813,WHUUTDBJXJRKMK-GSVOUGTGSA-M
https://identifiers.org/wikipathways/WP5060_r123880,WP5060,Peptidoglycan cytoplasmic synthesis and recycling pathways,6602346,ZFEGYUMHFZOYIY-YVNCZSHWSA-N
https://identifiers.org/wikipathways/WP5060_r123880,WP5060,Peptidoglycan cytoplasmic synthesis and recycling pathways,24798720,NMEMTQKUEVNSPV-MKFCKLDKSA-N
https://identifiers.org/wikipathways/WP5060_r123880,WP5060,Peptidoglycan cytoplasmic synthesis and recycling pathways,25244881,BEGZZYPUNCJHKP-DBYWSUQTSA-K
https://identifiers.org/wikipathways/WP5060_r123880,WP5060,Peptidoglycan cytoplasmic synthesis and recycling pathways,11006912,NQBRVZNDBBMBLJ-MQTLHLSBSA-N
https://identifiers.org/wikipathways/WP5060_r123880,WP5060,Peptidoglycan cytoplasmic synthesis and recycling pathways,439283,GMKMEZVLHJARHF-WHFBIAKZSA-N
https://identifiers.org/wikipathways/WP5060_r123880,WP5060,Peptidoglycan cytoplasmic synthesis and recycling pathways,150941,QDSLHWJDSQGPEE-LXGUWJNJSA-N
https://identifiers.org/wikipathways/WP5060_r123880,WP5060,Peptidoglycan cytoplasmic synthesis and recycling pathways,46173752,PNWZQTONLRRPST-KLDRQJOASA-N
https://identifiers.org/wikipathways/WP5060_r123880,WP5060,Peptidoglycan cytoplasmic synthesis and recycling pathways,51351754,VFGFFQOPKZHQLZ-RNWYCLNJSA-N
https://identifiers.org/wikipathways/WP5060_r123880,WP5060,Peptidoglycan cytoplasmic synthesis and recycling pathways,51351779,VFGFFQOPKZHQLZ-RNWYCLNJSA-M
https://identifiers.org/wikipathways/WP5060_r123880,WP5060,Peptidoglycan cytoplasmic synthesis and recycling pathways,5462244,MNLRQHMNZILYPY-MKFCKLDKSA-N
https://identifiers.org/wikipathways/WP5060_r123880,WP5060,Peptidoglycan cytoplasmic synthesis and recycling pathways,5490066,NTMMCWJNQNKACG-JKXSCJIPSA-N
https://identifiers.org/wikipathways/WP5060_r123880,WP5060,Peptidoglycan cytoplasmic synthesis and recycling pathways,71080,QNAYBMKLOCPYGJ-UWTATZPHSA-N
https://identifiers.org/wikipathways/WP4688_r120418,WP4688,Serine metabolism,40480038,
https://identifiers.org/wikipathways/WP4688_r120418,WP4688,Serine metabolism,7059387,BZQFBWGGLXLEPQ-REOHCLBHSA-L
https://identifiers.org/wikipathways/WP4545_r126793,WP4545,Oxysterols derived from cholesterol,163186099,KVJVJJWIEXCECB-VSSQKROFSA-N
https://identifiers.org/wikipathways/WP4545_r126793,WP4545,Oxysterols derived from cholesterol,163188683,RXMHNAKZMGJANZ-LQFSVREXSA-N
https://identifiers.org/wikipathways/WP4545_r126793,WP4545,Oxysterols derived from cholesterol,122706221,WTSQHJYZDLRRNB-WZRVWTAJSA-N
